MEMBER,Girls Never Die,Inner Dance,Hit the Floor,Untitled,TOTAL,TOTAL SONGS,TOTAL_1ST_PLACE,PROM
Seoyeon,15.6,0,0,0,15.6,1,1,15.6
Hyerin,3.7,0,9.6,0,13.3,2,,6.65
Chaeyeon,1,0,0,5.5,6.5,2,,3.25
Yooyeon,15.3,0,10.6,21,46.9,3,,15.633333
Soomin,12,0,0,8.3,20.3,2,,10.15
Nakyoung,7.7,0,5.3,0,13,2,,6.5
Yubin,7,0,10.5,0,17.5,2,,8.75
Kaede,3,0,5.7,0,8.7,2,,4.35
Dahyun,1.6,0,0,0,1.6,1,,1.6
Kotone,1.9,0,15.2,12.4,29.5,2,1,14.75
Yeonji,1.7,0,9.5,0,11.2,2,,5.6
Nien,4.6,0,6.3,0,10.9,2,,5.45
Jiwoo,6,0,0,12.5,18.5,2,,9.25
Sohyun,11.5,0,8.6,0,20.1,2,,10.05
Xinyu,7.1,0,5.5,0,12.6,2,,6.3
Mayu,2.8,0,0,10,12.8,2,,6.4
Lynn,5,0,11.5,0,16.5,2,,8.25
Joobin,0.5,0,0,0,0.5,1,,0.5
Hayeon,8.2,0,0,0,8.2,1,,8.2
Shion,1.3,0,0,15.5,16.8,2,,8.4
Chaewon,1.9,31.2,0,26.4,59.5,3,2,19.833333
Sullin,1.5,22.9,0,0,24.4,2,,12.2
Seoah,2.8,23.8,0,0,26.6,2,,13.3
Jiyeon,13.5,20,7.1,0,40.6,3,,13.533333
