code,NAME,DATE,TYPE,TITLE,DURATION,LINK,ENG SUB,MEMBERS,KEYWORDS,TAG,ERA,SEASON,EPISODE,SOURCE,NOTES,ALT LINKS
2404001,"2024.04.04 [SHORTS] S23 HaeRin, last maknae of tripleS",2024-04-04,Shorts,"The very last maknae of tripleS, S23 HaeRin! 😙 #tripleS #트리플에스 #서아 #SeoAh",0:00:17,https://youtu.be/PnmbWiNQAUo,,Seoah,"glow,maknaes,shorts,tiktok","official,shorts,tiktok,youtube","ASSEMBLE24,GLOW",Cream01,,tripleS official,,
2404002,2024.04.04 [SIGNAL],2024-04-04,SIGNAL,"The complete tripleS, ASSEMBLE! | EN | SIGNAL 240404",0:15:58,https://youtu.be/CE5OPiXYSSE,YES,"Chaewon,Chaeyeon,Dahyun,Hayeon,Hyerin,Jiwoo,Jiyeon,Joobin,Kaede,Kotone,Lynn,Mayu,Nakyoung,Nien,Seoah,Seoyeon,Shion,Sohyun,Soomin,Sullin,Xinyu,Yeonji,Yooyeon,Yubin","OT24,The Kitchen,gapyeong,member reveal","member reveal,official,youtube",ASSEMBLE24,Cream01,SIGNAL 493,tripleS official,,
2404003,2024.04.04 [TEASER] JiSuhYeon,2024-04-04,Teaser,tripleS 트리플에스 : JiSuhYeon.SSS,0:00:27,https://youtu.be/e2i1kBtTspg,,Jiyeon,"member reveal,teaser","member reveal,teaser,youtube",ASSEMBLE24,Cream01,,tripleS official,,
2404004,2024.04.04 [SIGNAL],2024-04-04,SIGNAL,Our names that will be heard with the sound of WAVes | EN | SIGNAL 240404,0:03:39,https://youtu.be/8BqP7_yZSeI,YES,"Jiyeon,Seoah","event gravity,stage names","member reveal,official,youtube",ASSEMBLE24,Cream01,SIGNAL 494,tripleS official,,
2404005,2024.04.05 [SHORTS] S24 as a ballerina,2024-04-05,Shorts,The career of S24 as a ballerina🩰 #tripleS #트리플에스 #지연 #JiYeon,0:00:50,https://youtu.be/Z1wILC_cXR8,,Jiyeon,"ballerina,ballet,glow,shorts,tiktok","official,shorts,tiktok,youtube","ASSEMBLE24,GLOW",Cream01,,tripleS official,,
2404006,2024.04.05 [SIGNAL],2024-04-05,SIGNAL,MaYooYeon Shine Brighter than Cherry Blossoms🌸 | EN | SIGNAL 240405,0:05:16,https://youtu.be/4xG-2HfZsgk,YES,"Mayu,Yooyeon","cherry blossoms,hanging out","official,youtube",ASSEMBLE24,Cream01,SIGNAL 495,tripleS official,,
2404007,2024.04.06 [SHORTS] Han River Cat Challenge YooYeon & Mayu,2024-04-06,Shorts,Spring season's cherry blossom rabbits are here🐰🌸 #tripleS #트리플에스 #유연 #마유 #YooYeon #Mayu,0:00:08,https://youtu.be/wdtJPIcb5-Y,,"Mayu,Yooyeon","shorts,tiktok,tiktok challenge","official,shorts,tiktok,youtube",ASSEMBLE24,Cream01,,tripleS official,,
2404008,2024.04.06 [WEB DRAMA] What's Up Ep.1,2024-04-06,Drama,취준생이라 쓰고 백수라 읽는다 [요즘 뭐해] Ep.1 (SUB),0:07:14,https://youtu.be/6SdWmQDarYc,YES,Yooyeon,web drama,"drama,youtube",ASSEMBLE24,Cream01,1,MEME STUDIO,,
2404009,2024.04.06 [SIGNAL],2024-04-06,SIGNAL,Teasers of tripleS Glow are Glowing beautifully | EN JP | SIGNAL 240406,0:18:17,https://youtu.be/mXfm8Lxq33k,YES,"Mayu,Yooyeon","glow,reaction,teaser","official,youtube",ASSEMBLE24,Cream01,SIGNAL 496,tripleS official,,
2404010,2024.04.06 [SHORTS] Preview of S24 Stage Names,2024-04-06,Misc,S24 Stage Name Preview~! #tripleS #트리플에스,0:00:26,https://youtu.be/L7-a3WVyjNY,YES,Jiyeon,"gravity,stage names","official,shorts,tiktok,youtube",ASSEMBLE24,Cream01,,tripleS official,,
