MEMBER,N° S,STAGE NAME,NOMBRE LEGAL,OTROS NOMBRES,POSICIÓN,CUMPLEAÑOS,NACIONALIDAD,SIGNO ZODIACAL,ALTURA,GRUPO SANGUINEO,MBTI,EMOJI,COLOR,REVEAL,HOGAR,COORDS,DEBUT,SUB UNIDADES
Seoyeon,S01,Yoon SeoYeon (YSY),Yoon Seoyeon (윤서연),N/A,"Lider de ASSEMBLE25, Lider de LOVElution, Vocalista, Centro, FOTG (Cara del grupo)",6 de agosto de 2003,Coreana,Leo,160 cm (5’3″),B,ISFP,🐹 (Hamster),Dodger Blue (#1E90FF),1 de mayo de 2022,"Daejeon, Corea del Sur","36.3497, 127.3849",ASSEMBLE,"""+(KR)ystal Eyes"",ACID EYES, LOVElution"
Hyerin,S02,Jeong HyeRin (JHR), Jeong Hyerin (정혜린),Bella Jeong (Inglés),"Lider de Vision@ry Vision, Bailarina Principal",12 de abril de 2007,Coreana,Aries,161 cm (5’3″),B,ESTP,🐱 (Gato),Electric Purple (#BF00FF),17 de mayo de 2022,"Hwanggeum-dong, Suseong-gu, Ciudad Metropolitana de Daegu, Corea del Sur","35.8415, 128.6321",Acid Angel from Asia <ACCESS>,"Acid Angel From Asia,ACID EYES,LOVElution,Vision@ry Vision"
Jiwoo,S03,Lee JiWoo (LJW),Lee Jiwoo (이지우),N/A,Vocalista Principal,24 de octubre de 2005,Coreana,Escorpio,172 cm (5’7”),O,INTP,🐻 (Oso),Lemon Yellow (#FAFA33),1 de junio de 2022,"Jamwon-dong, Seocho-gu, Seúl, Corea del Sur","37.5148, 127.0123",ASSEMBLE,"""+(KR)ystal Eyes"",ACID EYES, EVOLution,Aria,∞! (Hatchi)"
Chaeyeon,S04,Kim ChaeYeon (KCY),Kim Chaeyeon (김채연),N/A,Vocalista,4 de diciembre de 2004,Coreana,Sagitario,170 cm (5’6”),B,ESFP,🍑 (Durazno),Atlantis Green (#66CC33),22 de junio de 2022,"Mia-dong, Gangbuk, Seúl, Corea del Sur","37.6259, 127.0256",ASSEMBLE,"""+(KR)ystal Eyes"",ACID EYES, EVOLution,Aria,∞! (Hatchi)"
Yooyeon,S05,Kim YooYeon (KYY),Kim Yooyeon (김유연),N/A,"Líder de tripleS, Líder de Acid Angel from Asia, Líder de EVOLution, Visual, Mayor, Centro",9 de febrero de 2001,Coreana,Acuario,165 cm (5’4″),B,INTP,🐰 (Conejo),Opera Pink (#EC118F),11 de julio de 2022,"Banpo-dong, Seocho-gu, Seúl, Corea del Sur","37.50312, 127.0014",Acid Angel from Asia <ACCESS>,"Acid Angel From Asia,ACID EYES,EVOLution,Vision@ry Vision,∞! (Hatchi)"
Soomin,S06,Kim SooMin (KSM),Kim Soomin (김수민),N/A,Vocalista,3 de octubre de 2007,Coreana,Libra,160 cm (5’3″),AB,ENTP,🐿️ (Ardilla),Mauvelous (#EF98AA),8 de agosto de 2022,"Daegu, Corea del Sur","35.8713, 128.6018",ASSEMBLE,"""+(KR)ystal Eyes"",ACID EYES, EVOLution,∞! (Hatchi)"
Nakyoung,S07,Kim NaKyoung (KNK),Kim Nakyoung (김나경),N/A,"Vocalista, Rapera, Bailarina",13 de octubre de 2002,Coreana,Libra,166 cm (5’5”),O,INFP,🐈‍⬛ (Gato Negro),Cadet Blue (#5F9EA0),22 de agosto de 2022,"Yaksa-dong, Jung-gu, Ulsan, Corea del Sur","35.5761, 129.3301",Acid Angel from Asia <ACCESS>,"Acid Angel From Asia,ACID EYES,EVOLution,Vision@ry Vision"
Yubin,S08,Gong YuBin (GYB),Gong Yu-bin (공유빈),Belle Gong (Inglés),"Bailarina Principal, Vocalista, Visual",3 de febrero de 2005,Coreana,Acuario,164 cm (5’4″),B,ENFJ,🐯 (Tigre),Misty Rose (#FFE4E1),9 de septiembre de 2022,"Giheung-gu, Yongin, Gyeonggi-do, Corea del Sur","37.2801, 127.1148",Acid Angel from Asia <ACCESS>,"Acid Angel From Asia,ACID EYES,LOVElution,Vision@ry Vision"
Kaede,S09,Kaede (KD),Yamada Kaede (山田楓),"Gong Kae (공카에) (Coreano), Daisy Yamada (Inglés)","Bailarina Principal, Vocalista, Rapera, Visual",20 de diciembre de 2005,Japonesa,Sagitario,160 cm (5’3″),A,INFP,🍁 (Hoja de Arce),Sunglow Yellow (#FFCC33),9 de noviembre de 2022,"Toyama, Japón","36.6958, 137.2136",ASSEMBLE,"LOVElution,Aria,Vision@ry Vision"
Dahyun,S10,Seo DaHyun (SDH),Seo Dahyun (서다현),Ruby Seo (Inglés),"Lider de Aria, Vocalista Principal",8 de enero de 2003,Coreana,Capricornio,160.1 cm (5’3″),A,ISFP,🍒 (Cereza),Lavender Rose (#FBA0E3),9 de diciembre de 2022,"Busán, Corea del Sur","35.18, 129.0752",ASSEMBLE,"LOVElution,Aria"
