MEMBER,S,Girls Never Die,Heart Raider,Midnight Flower,White Soul Sneakers,Chiyu,24,Beyond the Beyond,Non Scale,Dimension,Inner Dance,###,Visual Virtue,Hit the Floor,Choom,Éclair,연애소설 (Love Soseol),Atmosphere (VV Ver.),12 Rings,Vision,Bionic Power,Vision@ry Vision,Polaroid,Untitled,### (∞! Ver.),Dreaming,Closer,First Night Of Snow,PainDrop,TOTAL,TOTAL_OT24,TOTAL SONGS,TOTAL_1ST_PLACE,PROM
Seoyeon,,2.7,2.3,4.2,4.6,4.3,4.7,3.3,11.6,12.1,,5.1,,,,,,,,,,,,,,,,,33.2,88.1,54.9,11,,8.009090909
Hyerin,,1.8,1.5,6.4,6.3,2.9,2.9,2.1,7.4,7.7,,4.1,,6.6,15.8,9.5,10,6.4,6.6,11.2,10.2,,,,,,,,,119.4,43.1,18,,6.633333333
Jiwoo,,6.2,17.3,8.4,5.6,13.3,5.2,10.3,7.7,8.8,,2.3,,,,,,,,,,,,16.2,13.2,,,,29.8,144.3,85.1,13,,11.1
Chaeyeon,,1.6,7.1,3.7,6.1,4.2,5,16.3,9.6,9.9,,6,,,,,,,,,,,,10.7,14.2,,,,,94.4,69.5,12,,7.866666667
Yooyeon,,2.7,8.2,2.3,6.4,2.3,3.1,4.2,5.6,5.2,,5,,6.9,10.6,7.4,10.3,2.7,5.1,2.8,4.7,,,7.7,9.1,21,,,,133.3,45,21,,6.347619048
Soomin,,4.7,2.4,4.1,5.8,1.4,2.3,1,8.7,10.9,,5,,,,,,,,,,,,5.8,12.1,,,,,64.2,46.3,12,,5.35
Nakyoung,,2.5,5.8,5.4,4.7,13.8,8.3,18.5,6.9,12.7,,3.9,,8.1,27.2,13.3,21.6,5.3,17.5,9.6,22.1,,32.8,,,,195.2,,,435.2,82.5,20,4,21.76
Yubin,,1.6,2.8,2.8,7.1,6.5,3.4,2.2,8.8,9.3,,6.1,,12.9,11.5,7.7,11.4,8.8,7.2,5,11,,,,,18.6,,,28.2,172.9,50.6,20,1,8.645
Kaede,,2.5,5.9,2.3,8.3,4.7,7.2,2.4,6.5,3.8,,5.9,,15.1,13.4,15.2,19.1,8.2,27,15.1,13.3,,,,,,,,,175.9,49.5,18,4,9.772222222
Dahyun,,21.4,21.2,4.9,21.1,21.9,13.3,34.8,21.4,8.3,,6.1,,,,,,,,,,,,,,39,,123.2,,336.6,174.4,12,8,28.05
Kotone,,2.2,6,3.2,1.7,4.6,4.1,2.2,5.6,8.9,,5.5,,13.4,10.8,9,12.2,5.4,6.2,1.9,8.8,,,8.1,17.2,,,,,137,44,20,,6.85
Yeonji,,1.4,2.9,2.2,1.3,1.5,2.4,0.9,6.3,3.9,,5,,6.8,5.9,9.5,9.7,3.9,4.7,3.4,2.3,,,,,,,,,74,27.8,18,,4.111111111
Nien,,1.4,6,2.3,7.4,5.3,2.1,3.3,5.7,6.1,,4.4,,5.7,10.9,6.7,8.1,7.1,6.6,3.5,8.4,,,,,,,,,101,44,18,,5.611111111
Sohyun,,2.1,8.3,2.8,9.5,2.3,8,8.3,13.2,4,,5.5,,7,6.9,11.6,6.3,8.9,11.6,6.3,8.1,,,,,,,,40,170.7,64,19,2,8.984210526
Xinyu,,2.5,5.6,2,2,3.2,3.4,11.2,6.8,4.1,,4.8,,7,3.9,9.7,15.1,5.3,7.5,5.6,3.7,,,,,,,,,103.4,45.6,18,,5.744444444
Mayu,,2.4,8.8,9.8,2.4,8.4,2.3,2.8,4.3,3.8,,6,,,,,,,,,,,37.5,11.5,15.1,,,,,115.1,51,13,1,8.853846154
Lynn,,2.8,2.9,2.2,5.4,4.3,3.3,0.9,2.3,3.8,,6.1,,13.7,5.8,9.9,8.8,2.4,6.8,6.1,8.1,,,,,,,,,95.6,34,18,1,5.311111111
Joobin,,2.8,3.2,3.8,8.3,16.6,3.1,3,5.9,2.3,,3.6,,,,,,,,,,,,,,,,,,52.6,52.6,10,,5.26
Hayeon,,3.1,2.2,5.8,5.9,4.9,4,3,5.9,3.9,,4.5,,,,,,,,,,,,,,,,,,43.2,43.2,10,,4.32
Shion,,1.2,6.6,7.1,6.5,5.1,5.5,6,13.4,7.9,,5.3,,,,,,,,,,,37.9,17.4,16.2,41.5,,,,177.6,64.6,14,3,12.68571429
Chaewon,,0.9,1,2.2,8.5,8.3,3.2,3.1,3.4,3.8,42.2,5.6,,,,,,,,,,,27.8,10.4,18.8,,,,,139.2,40,14,1,9.942857143
Sullin,,1.2,1.8,4.1,1.3,1.5,0.9,0.9,2,2.6,18.8,4.2,,,,,,,,,,,,,,,,,,39.3,20.5,11,,3.572727273
Seoah,,2.5,6.1,2.3,4,2.3,1.2,2.9,3.4,5.5,29.2,2.2,,,,,,,,,,,,,,,,,,61.6,32.4,11,,5.6
Jiyeon,,1.5,3.1,2.9,7.4,2.5,1.9,2.4,3.1,2.6,21.8,4.2,,9.3,12.4,9.5,7.5,7.1,8.7,5.9,7.3,,,,,,,,,121.1,31.6,19,,6.373684211
